crim crie	參差/㠁嵯
jia ttiioh	遮住
jia vriemx	遮掩
jia dannh	遮擋
jia siiu	遮羞
jia bieih	遮蔽
jia iiann	遮陽
tti leux	遲了
tti grau	遲交
tti dauh	遲到
tti mranh	遲慢
tti zaux	遲早
tti moh	遲暮
tti ttieih	遲滯
tti nnii	遲疑
tti hhuanx	遲緩
tti nnoh	遲誤
tti tti	遲遲
tti ttuwnh	遲鈍
tti duwnh	遲頓
zyn hruah	遵化
zyn mriannh	遵命
zyn ppiionnx	遵奉
zyn ssyn	遵循
zyn jix	遵旨
zyn jieuh	遵照
zyn nnrieh	遵義
zyn pprenh	遵辦
cien gnip	遷入
cien van	遷安
cien cciiuh	遷就
cien siex	遷徙
cien ie	遷移
cien sei	遷西
cien do	遷都
cien biii	遷飛
leu diiunn	遼中
leu sriix	遼史
leu nenn	遼寧
leu dunn	遼東
leu hha	遼河
leu hwix	遼海
leu nnuuon	遼源
leu sei	遼西
leu grim	遼金
leu kuat	遼闊
leu iiann	遼陽
kkiiwh gnien	遽然
ppieh mrienx	避免
ppieh hhem	避嫌
ppieh iinnh	避孕
ppieh hhan	避寒
ppieh yak	避役
ppieh kkiih	避忌
ppieh xiiwx	避暑
ppieh xyeih	避稅
ppieh xxiiwh	避署
ppieh huuih	避諱
ppieh gniiannh	避讓
ppieh kwi	避開
ppieh hriemx	避險
vieu gunn	邀功
vieu ccip	邀集
mraih hiiannh	邁向
mraih zinh	邁進
hhreh hhwuh	邂逅
syh gox	邃古
syh riiox	邃宇
syh mrit	邃密
mrok gnien	邈然
mrok mrok	邈邈
ben gnie	邊兒
ben ttih	邊地
ben xxiann	邊城
ben griannx	邊境
ben ppieih	邊幣
ben ttenn	邊庭
ben siiann	邊廂
ben hhruanh	邊患
ben ccwi	邊材
ben kuuann	邊框
ben griemx	邊檢
ben min	邊民
ben yen	邊緣/邊沿
ben miiuk	邊牧
ben greih	邊界
ben giiann	邊疆
ben sienh	邊線
ben xiann	邊聲
ben ieih	邊裔
ben loh	邊路
ben brix	邊鄙
ben hrinh	邊釁
ben piionn	邊鋒
ben mwn	邊門
ben gruan	邊關
ben xxye	邊陲
ben zieih	邊際
ben vrim	邊音
ben ttwu	邊頭
lap tap	邋遢
lah ccip	邏輯
viionn nenn	邕寧
viionn viionn	邕邕
hhan gronn	邗江/韓江
mann sren	邙山
kkiionn lwi	邛崍
bronn grau	邦交
bronn guwk	邦國
bronn dwk	邦德
bronn ttek	邦迪
ppri jiiu	邳州
xxieuh ccuk	邵族
xxieuh dunn	邵東
xxieuh miiox	邵武
xxieuh iiann	邵陽
deix bauh	邸報
jit liiunn	郅隆
grau nnuaih	郊外
grau lann	郊狼
grau ssiix	郊祀
lann diiunn	郎中
lann guun	郎君
lann lannx	郎朗
lann kei	郎溪
guak xxiann	郭城
guak ccyen	郭泉
ttam xxiann	郯城
tim jiiu	郴州
riiu ttenn	郵亭
riiu kkrienx	郵件
riiu brau	郵包
riiu primx	郵品
riiu bauh	郵報
riiu grieh	郵寄
riiu kkiiok	郵局
riiu dienx	郵展
riiu xxiix	郵市
riiu jiannh	郵政
riiu siiann	郵箱
riiu grenx	郵簡
riiu qqyen	郵船
riiu hrua	郵花
riiu ttwih	郵袋
riiu zi	郵資
riiu gwuh	郵購
riiu lyn	郵輪
riiu mei	郵迷
riiu ttenh	郵電
do yn	都勻
do xxiann	都城
do xxiix	都市
do qiiann	都昌
do dok	都督
do lan	都蘭
do hhoh	都護
do lenn	都靈
viionh xxiann	郾城
nnak xxiann	鄂城
nnak jiiu	鄂州
gyenh xxiann	鄄城
hiiann gnin	鄉人
hiiann nenn	鄉寧
hiiann cciann	鄉情
hiiann ccriiu	鄉愁
hiiann nnuuonh	鄉愿
hiiann cek	鄉戚
hiiann kiiok	鄉曲
hiiann cuwn	鄉村
hiiann min	鄉民
hiiann xin	鄉紳
hiiann xiih	鄉試
hiiann ttam	鄉談
hiiann grau	鄉郊
hiiann lin	鄉鄰
hiiann vii	鄉醫
hiiann liix	鄉里
hiiann grenh	鄉間
hiiann vrim	鄉音
zriiu xxiann	鄒城
zriiu iionn	鄒容
zriiu ccuk	鄒族
ruun sei	鄖西
brix gnin	鄙人
brix ssiiok	鄙俗
brix liix	鄙俚
brix lyet	鄙劣
brix linh	鄙吝
brix i	鄙夷
brix qiak	鄙斥
brix kih	鄙棄
brix ppak	鄙薄
brix siet	鄙褻
brix ccienh	鄙賤
brix lwuh	鄙陋
ttwnnh gra	鄧加
ttwnnh jiiu	鄧州
ttwnnh sek	鄧析
ttwnnh ttek	鄧迪
ttwnnh tunn	鄧通
ttiannh jiiu	鄭州
ttiannh hhuen	鄭玄
ttiannh mrax	鄭碼
lin gnin	鄰人
lin riiuh	鄰佑
lin guwk	鄰國
lin ruuk	鄰域
lin gra	鄰家
lin ccuah	鄰座
lin ziep	鄰接
lin xyx	鄰水
lin miiuk	鄰睦
lin xiax	鄰舍
lin bronn	鄰邦
lin liix	鄰里
ppa iiann	鄱陽
dan xxiann	鄲城
iiux xxii	酉時
iiux iiann	酉陽
iiux gei	酉雞
jiiak gra	酌加
jiiak ttuat	酌奪
jiiak cciann	酌情
jiiak hhrek	酌核
jiiak gremx	酌減
jiiak manx	酌滿
jiiak nnrieh	酌議
jiiak pprenh	酌辦
jiiak ziiux	酌酒
pwih kkrienx	配件
pwih nnox	配伍
pwih pprih	配備
pwih grah	配價
pwih xxiiuh	配售
pwih hhenn	配型
pwih ziix	配子
pwih duwih	配對
pwih dwih	配戴
pwih iionnh	配用
pwih biiot	配發
pwih giin	配筋
pwih grip	配給
pwih diih	配置
pwih iiak	配藥
pwih box	配補
pwih zriiann	配裝
pwih jieih	配製
pwih grok	配角
pwih sunnh	配送
pwih suk	配速
pwih sieu	配銷
pwih vrim	配音
pwih nnrak	配額
pwih xiik	配飾
pwih can	配餐
pwih teix	配體
ziiux ziannx	酒井
ziiux baux	酒保
ziiux kkiioh	酒具
ziiux liik	酒力
ziiux miiih	酒味
ziiux krih	酒器
ziiux hho	酒壺
ziiux venh	酒宴
ziiux gra	酒家
ziiux bra	酒巴
ziiux liem	酒帘
ziiux ssiak	酒席
ziiux demh	酒店
ziiux lann	酒廊
ziiux tto	酒徒
ziiux dwk	酒德
ziiux viih	酒意
ziiux bwi	酒杯
ziiux zaux	酒棗
ziiux lwu	酒樓
ziiux kkryh	酒櫃
ziiux hhrau	酒殽
ziiux xyx	酒水
ziiux ccyen	酒泉
ziiux vua	酒渦
ziiux criik	酒測
ziiux ziiann	酒漿
ziiux ttiiunn	酒盅
ziiux qqin	酒神
ziiux grauh	酒窖
ziiux ien	酒筵
ziiux ttiiu	酒籌
ziiux ziann	酒精
ziiux zau	酒糟
ziiux hhronn	酒缸
ziiux sih	酒肆
ziiux sriik	酒色
ziiux hrua	酒花
ziiux zriiann	酒莊
ziiux cwih	酒菜
ziiux iiak	酒藥
ziiux zi	酒資
ziiux zyh	酒醉
ziiux niiannh	酒釀
ziiux guanh	酒館
ziiux grah	酒駕
ziiux guuix	酒鬼
ziiux kiiuk	酒麴
ziiux lenn	酒齡
hiioh ziiux	酗酒
hham jienh	酣戰
hham tiiannh	酣暢
hham men	酣眠
hham xxyeh	酣睡
hham zyh	酣醉
so iiu	酥油
so cyeih	酥脆
so gnyenx	酥軟
so lak	酥酪
so mra	酥麻
mennx dennx	酩酊
lak gniiox	酪乳
lak li	酪梨
lak soh	酪素
xxiiu bauh	酬報
xxiiu duwih	酬對
xxiiu qqin	酬神
xxiiu dwp	酬答
xxiiu ssiah	酬謝
xxiiu xiiannx	酬賞
xxiiu ccak	酬酢
xxiiu grim	酬金
grauh mwux	酵母
grauh soh	酵素
kok ssiix	酷似
kok hhenn	酷刑
kok vwih	酷愛
kok ppieih	酷斃
kok xiiwx	酷暑
kok preh	酷派
kok hhuenh	酷炫
kok liet	酷烈
kok gniet	酷熱
kok sieuh	酷肖
kok ppwnn	酷鵬
suan gniiox	酸乳
suan siannh	酸性
suan kiiok	酸曲
suan gwn	酸根
suan mwi	酸梅
suan zaux	酸棗
suan criiwh	酸楚
suan mo	酸模
suan min	酸民
suan ziiann	酸漿
suan srip	酸澀
suan ttem	酸甜
suan ttonn	酸疼
suan tunnh	酸痛
suan cwih	酸菜
suan ttwuh	酸豆
suan gnyenx	酸軟
suan sin	酸辛
xxyn mrix	醇美
xxyn suan	醇酸
zyh gnin	醉人
zyh sim	醉心
zyh twih	醉態
zyh zaux	醉棗
zyh hanh	醉漢
zyh vunn	醉翁
zyh xiannh	醉聖
zyh ziiux	醉酒
zyh gei	醉雞
zyh guuix	醉鬼
coh giannh	醋勁
coh lit	醋栗
coh suan	醋酸
qiiux kkriak	醜劇
qiiux hruah	醜化
qiiux grueih	醜怪
qiiux twih	醜態
qiiux hhrannh	醜行
qiiux hhruaih	醜話
qiiux lwuh	醜陋
qiiux lyh	醜類
lau zau	醪糟
vii baux	醫保
vii miioh	醫務
vii buk	醫卜
vii jiiok	醫囑
vii hhrok	醫學
vii guan	醫官
vii gra	醫家
vii mrit	醫密
vii sri	醫師
vii dwk	醫德
vii hhruanh	醫患
vii gwix	醫改
vii xiiw	醫書
vii vanh	醫案
vii liix	醫理
vii lieuh	醫療
vii iiak	醫藥
vii qqyt	醫術
vii hhoh	醫護
vii ttaux	醫道
ziiannh iiu	醬油
ziiannh grua	醬瓜
ziiannh ziex	醬紫
leix liinn	醴陵
niiannh xxiann	釀成
niiannh ziiux	釀酒
hrinh duan	釁端
hrinh kriak	釁隙
cwix xiann	采聲
xiak ssiiok	釋俗
xiak denx	釋典
xiak miann	釋名
xiak hhuwi	釋回
xiak hhem	釋嫌
xiak zuwn	釋尊
xiak nemh	釋念
xiak hhruei	釋懷
xiak xiiux	釋手
xiak miin	釋文
xiak gnien	釋然
xiak nnii	釋疑
xiak nnrieh	釋義
xiak ttuk	釋讀
xiak gra	釋迦
liix gnin	里人
liix gra	里加
liix hhronnh	里巷
liix lunnh	里弄
liix lwp	里拉
liix gwn	里根
liix gronnx	里港
liix gniex	里爾
liix xxiax	里社
liix ttiann	里程
lii kwk	釐克
lii xiinn	釐升
lii sek	釐析
lii ciann	釐清
lii meix	釐米
grim jiiox	金主
grim ttwih	金代
grim gann	金剛
grim cciiannh	金匠
grim kkryh	金櫃/金匱
grim vinh	金印
grim sriix	金史
grim ttann	金堂
grim tap	金塔
grim ttan	金壇
grim vuui	金威
grim ziix	金子
grim cciih	金字
grim van	金安
grim nenn	金寧
grim baux	金寶
grim sren	金山
grim qyen	金川
grim ppieih	金幣
grim koh	金庫
grim iionn	金庸
grim miin	金文
grim qiiann	金昌/金閶
grim mriann	金明
grim senn	金星
grim xxiannh	金晟
grim dunn	金東
grim gam	金柑
grim get	金桔
grim tteu	金條
grim gyt	金橘
grim xyx	金水
grim ccyen	金泉
grim hho	金湖
grim kei	金溪
grim cit	金漆
grim vruan	金灣
grim vo	金烏
grim nniiu	金牛
grim ziiannx	金獎
grim nniiok	金玉
grim grua	金瓜
grim vwu	金甌
grim xxiak	金石
grim gruannx	金礦
grim ciiu	金秋
grim go	金箍
grim ppak	金箔
grim hhunn	金紅
grim xieh	金翅
grim ttwi	金臺
grim sriik	金色
grim lan	金蘭
grim iiunn	金融
grim xxien	金蟬
grim hhrann	金衡
grim ben	金邊
grim hiiann	金鄉
grim ziiux	金酒
grim nnrin	金銀
grim jiionn	金鐘
grim mwn	金門
grim kuuot	金闕
grim liinn	金陵
grim iiann	金陽
grim gei	金雞
grim liannx	金領
grim nnrak	金額
grim xiik	金飾
grim biiot	金髮
grim nniiw	金魚
grim deu	金鵰
grim lox	金鹵
grim hhuann	金黃
ppiiox sren	釜山
deuh kkiioh	釣具
deuh krak	釣客
deuh gan	釣竿
deuh gwu	釣鉤
deuh nniiw	釣魚
kwux hhruan	釦環
kwux nnrenx	釦眼
kwux pranh	釦襻
ttuwnh grok	鈍角
niiux kwux	鈕釦
gyn iioh	鈞諭
lenn muk	鈴木
lenn xiann	鈴聲
lenn lan	鈴蘭
kkiiwx ziix	鉅子
kkiiwx hhueih	鉅惠
kkriem ttiioh	鉗住
kkriem jieih	鉗制
kkriem ziix	鉗子
kkriem gunn	鉗工
yen cciih	鉛字
yen sren	鉛山
yen daih	鉛帶
yen tteu	鉛條
yen kkiiu	鉛球
yen gruannx	鉛礦
yen brit	鉛筆
yen ppak	鉛箔
gwu ttiioh	鉤住
gwu gnie	鉤兒
gwu miinx	鉤吻
gwu ziix	鉤子
gwu hhruan	鉤環
gwu pah	鉤破
gwu hrua	鉤花
nnrin dan	銀丹
nnrin liiannh	銀亮
nnrin baux	銀保
nnrin nnuuon	銀元
nnrin cciiannh	銀匠
nnrin krih	銀器
nnrin ttan	銀壇
nnrin huwn	銀婚
nnrin ziix	銀子
nnrin set	銀屑
nnrin qyen	銀川
nnrin jiiu	銀州
nnrin mak	銀幕
nnrin ppieih	銀幣
nnrin ccuah	銀座
nnrin hhrannx	銀杏
nnrin bwi	銀杯
nnrin liiux	銀柳
nnrin gwn	銀根
nnrin tteu	銀條
nnrin lwu	銀樓
nnrin hha	銀河
nnrin hwix	銀海
nnrin hanh	銀漢
nnrin hho	銀狐
nnrin ziiannx	銀獎
nnrin ppenn	銀瓶
nnrin pprak	銀白
nnrin ppan	銀盤
nnrin ppak	銀箔
nnrin hhunn	銀紅
nnrin gniix	銀耳
nnrin sriik	銀色
nnrin ttwi	銀苔
nnrin jieih	銀製
nnrin huui	銀輝
nnrin biiot	銀髮
nnrin nniiw	銀魚
nnrin qiiann	銀鯧
nnrin vwu	銀鷗
nnrin demx	銀點
ttunn ssiiannx	銅像
ttunn cciiannh	銅匠
ttunn krih	銅器
ttunn sren	銅山
ttunn qyen	銅川
ttunn branx	銅板
ttunn liiann	銅梁
ttunn hhruan	銅環
ttunn gruannx	銅礦
ttunn guanx	銅管
ttunn sii	銅絲
ttunn la	銅鑼
ttunn liinn	銅陵
senx gunn	銑工
senx ccriiann	銑床
senx tet	銑鐵
cyen hhrann	銓衡
menn kwk	銘刻
menn miin	銘文
menn syen	銘瑄
menn nniion	銘言
menn giih	銘記
menn ssiah	銘謝
hhram ziep	銜接
sieu xieih	銷勢
sieu xxiiuh	銷售
sieu ziix	銷子
sieu diiannh	銷帳
sieu vanh	銷案
sieu hryeh	銷毀
sieu zann	銷贓
sieu loh	銷路
sieu xiiak	銷鑠
gep ziix	鋏子
piionn lih	鋒利
piionn miiann	鋒鋩
piionn gann	鋒鋼
piionn mienh	鋒面
ccriiw ttih	鋤地
ccriiw gan	鋤奸
ccriiw lei	鋤犁
ccriiw caux	鋤草
ccriiw ttwu	鋤頭
ttrannh liiannh	鋥亮
ttrannh guann	鋥光
giiok ziix	鋦子
giiwh ziix	鋸子
giiwh gunn	鋸工
giiwh muk	鋸木
giiwh mat	鋸末
giiwh grah	鋸架
giiwh tteu	鋸條
giiwh penh	鋸片
giiwh kwi	鋸開
giiwh qiix	鋸齒
gann branx	鋼板
gann liiann	鋼梁
gann jiio	鋼珠
gann kkrim	鋼琴
gann kuwi	鋼盔
gann brit	鋼筆
gann giin	鋼筋
gann guanx	鋼管
gann zienh	鋼箭
gann sii	鋼絲
gann lamh	鋼纜
gann hrua	鋼花
gann gryx	鋼軌
gann giiwh	鋼鋸
gann tet	鋼鐵
gann bien	鋼鞭
jy ziix	錐子
jy ziem	錐尖
jy hhenn	錐形
jy mienh	錐面
grimx nann	錦囊
grimx jiiu	錦州
grimx gronn	錦江
grimx ttuanx	錦緞
grimx siiuh	錦繡
grimx kky	錦葵
grimx sei	錦西
grimx gei	錦雞
grimx liix	錦鯉
sek brak	錫伯
sek kwk	錫克
sek kkriak	錫劇
sek huwn	錫婚
sek van	錫安
sek sren	錫山
sek ttiiannx	錫杖
sek xxiak	錫石
sek gruannx	錫礦
sek ppak	錫箔
sek lan	錫蘭
sek lap	錫蠟/錫鑞
sek grim	錫金
sek yen	錫鉛
gua demh	鍋墊
gua ziix	鍋子
gua bra	鍋巴
gua lo	鍋爐
gua kuwi	鍋盔
gua tep	鍋貼
duanh lenh	鍛鍊
duanh tet	鍛鐵
jiionn cciann	鍾情
jiionn vwih	鍾愛
iionn lo	鎔爐
suax xxie	鎖匙
suax cciiannh	鎖匠
suax guwk	鎖國
suax kunnx	鎖孔
suax iiak	鎖鑰
suax mwn	鎖門
suax guwt	鎖骨
liiu ziix	鎦子
liiu grim	鎦金
hhaux griann	鎬京
hhaux brax	鎬把
hhaux ttwu	鎬頭
nnauh ziix	鏊子
vau jienh	鏖戰
krenn gnien	鏗然
krenn ciiann	鏗鏘
griannh ssiiannx	鏡像
griannh ziix	鏡子
griannh grah	鏡架
griannh kuuann	鏡框
griannh hho	鏡湖
griannh penh	鏡片
griannh hrua	鏡花
griannh ttwu	鏡頭
griannh luan	鏡鸞
pieu krak	鏢客
giiannx xyx	鏹水
jiionn gniiox	鐘乳
jiionn xit	鐘室
jiionn sren	鐘山
jiionn brex	鐘擺
jiionn lwu	鐘樓
jiionn ssiiann	鐘祥
jiionn drauh	鐘罩
jiionn mienh	鐘面
jiionn ttwu	鐘頭
jiionn demx	鐘點
dwnnh guwt	鐙骨
zyen kwk	鐫刻
zyen tyt	鐫黜
liem cann	鐮倉
liem dau	鐮刀
tet gnin	鐵人
tet liik	鐵力
tet cciiannh	鐵匠
tet krih	鐵器
tet tap	鐵塔
tet ttennh	鐵定
tet sren	鐵山
tet liannx	鐵嶺
tet mak	鐵幕
tet kkryen	鐵拳
tet srem	鐵杉
tet ttiiannx	鐵杖
tet dunn	鐵東
tet branx	鐵板
tet ppronnx	鐵棒
tet lan	鐵欄
tet xyx	鐵水
tet biiop	鐵法
tet kkiiu	鐵球
tet kkrim	鐵琴
tet hhruan	鐵環
tet grap	鐵甲
tet pprie	鐵皮
tet xxiak	鐵石
tet sra	鐵砂
tet dim	鐵砧
tet gruannx	鐵礦
tet go	鐵箍
tet siiann	鐵箱
tet sii	鐵絲
tet vuanh	鐵腕
tet sei	鐵西
tet jiinnh	鐵證
tet loh	鐵路
tet ttei	鐵蹄
tet gryx	鐵軌
tet guun	鐵軍
tet ttaux	鐵道
tet gua	鐵鍋
tet mienh	鐵面
tet biannx	鐵餅
tet mrax	鐵馬
tet qiix	鐵齒
jiioh kkrienx	鑄件
jiioh gunn	鑄工
jiioh ppieih	鑄幣
jiioh xxiann	鑄成
jiioh ttunn	鑄銅
jiioh tet	鑄鐵
lap ppak	鑞箔
iiak xxie	鑰匙
niep ziix	鑷子
cuanh ziix	鑹子
la xiann	鑼聲
luan grah	鑾駕
mwn donn	門冬
mwn ccen	門前
mwn kwux	門釦/門口
mwn hrip	門吸
mwn ttih	門地
mwn kwmx	門坎
mwn demh	門墊/門店
mwn duwn	門墩
mwn nnuaih	門外
mwn ziix	門子
mwn krak	門客
mwn duwih	門對
mwn gann	門崗
mwn xxiix	門市
mwn lann	門廊
mwn tenn	門廳
mwn gennh	門徑
mwn tto	門徒
mwn dannh	門擋
mwn sryen	門栓
mwn kuuann	門框
mwn mri	門楣
mwn hhramx	門檻
mwn preh	門派
mwn nnuuon	門源
mwn nnra	門牙
mwn kkiiu	門球
mwn hhruan	門環
mwn sriann	門生
mwn qqin	門神
mwn ttunn	門童
mwn tteih	門第
mwn la	門羅
mwn sat	門薩
mwn loh	門路
mwn ttaux	門道
mwn lenn	門鈴
mwn grauh	門鉸
mwn suax	門鎖
mwn ppiiot	門閥
mwn hhrenx	門限
mwn grei	門階
mwn mienh	門面
mwn nnrak	門額
mwn lyh	門類
mwn qiix	門齒
kwi grau	開交
kwi lieih	開例
kwi grah	開價/開架
kwi guann	開光
kwi kkiioh	開具
kwi dunnh	開凍
kwi dau	開刀
kwi gninh	開刃
kwi criiw	開初
kwi ttunnx	開動
kwi hruah	開化
kwi vinh	開印
kwi kwux	開口
kwi giit	開吃
kwi miiih	開味
kwi guwk	開國
kwi ttih	開地
kwi xxiann	開城/開誠
kwi ttann	開堂
kwi ttiiann	開場
kwi kwnx	開墾
kwi hho	開壺
kwi nnuaih	開外
kwi xiix	開始
kwi hhrok	開學
kwi ttauh	開導
kwi kkiiok	開局
kwi dienx	開展
kwi sren	開山
kwi gunn	開工
kwi xxiix	開市
kwi mak	開幕
kwi demh	開店
kwi ttenn	開庭
kwi ruuannx	開往
kwi sim	開心
kwi vwn	開恩
kwi nnoh	開悟
kwi hhruei	開懷
kwi greih	開戒
kwi jienh	開戰
kwi prak	開拍
kwi grueh	開掛
kwi cwix	開採
kwi jie	開支
kwi qiiannx	開敞
kwi mriann	開明
kwi vriannh	開映
kwi qyn	開春
kwi cciann	開晴
kwi tiiannh	開暢
kwi kuannh	開曠
kwi ppiiuk	開服
kwi lannx	開朗
kwi bwnx	開本
kwi nniiop	開業
kwi giii	開機
kwi ppoh	開步
kwi xyx	開水
kwi gronn	開江
kwi hha	開河
kwi sieu	開消/開銷
kwi sruanh	開涮
kwi liiuh	開溜
kwi manx	開滿
kwi ienx	開演
kwi huax	開火
kwi dwnn	開燈
kwi lo	開爐
kwi lei	開犁
kwi ziiannx	開獎
kwi kkiiu	開球
kwi giiann	開疆
kwi biiot	開發
kwi ppan	開盤
kwi nnrenx	開眼
kwi gruannx	開礦
kwi biiuk	開福
kwi keuh	開竅
kwi lip	開立
kwi dremh	開站
kwi duan	開端
kwi brit	開筆
kwi ien	開筵
kwi pien	開篇
kwi ttrenh	開綻
kwi sienh	開線
kwi ccuwix	開罪
kwi la	開鑼/開羅
kwi ruuih	開胃
kwi kronn	開腔
kwi ttwi	開臺
kwi qqyen	開船
kwi hrua	開花
kwi brau	開苞
kwi huann	開荒
kwi huun	開葷
kwi munn	開蒙
kwi iiak	開藥
kwi creh	開衩
kwi liet	開裂
kwi grim	開金/開襟
kwi nniion	開言
kwi xiet	開設
kwi hiiwx	開許
kwi kuah	開課
kwi gronnx	開講
kwi nnrieh	開議
kwi swih	開賽
kwi piioh	開赴
kwi loh	開路
kwi pprenh	開辦
kwi tunn	開通
kwi ttaux	開道
kwi xiak	開釋
kwi gua	開鍋
kwi suax	開鎖
kwi liem	開鐮
kwi mwn	開門
kwi grenh	開間
kwi kuat	開闊
kwi gruan	開關
kwi ppiak	開闢
kwi iiann	開陽
kwi ccip	開集
kwi zeih	開霽
kwi grek	開革
kwi ttwu	開頭
kwi nnran	開顏
kwi lox	開魯
kwi zrei	開齋
hhren gnin	閑人
hhren sim	閑心
hhren hhrah	閑暇
hhren jiiann	閑章
hhren leu	閑聊
hhren jiik	閑職
hhren hrua	閑花
hhren hhruaih	閑話
hhren ttam	閑談
hhren guuannx	閑逛
hhren it	閑逸
hhren nnrax	閑雅
hhren ccwp	閑雜
hhren cciannx	閑靜
gren gnin	閒人
gren kwux	閒口
gren cciann	閒情
gren hhuannx	閒晃
gren hhrah	閒暇
gren xiiw	閒書
gren hhuwnx	閒混
gren diih	閒置
gren hhruaih	閒話
gren ttam	閒談
grenh qiiunn	間充
grenh bek	間壁
grenh zwuh	間奏
grenh hhuwk	間或
grenh ziep	間接
grenh hiiot	間歇
grenh mrieu	間苗
grenh ttep	間諜
grenh grek	間隔
grenh kriak	間隙
mrinx hiionn	閔凶
gak kkyx	閣揆
gak lwu	閣樓
gak nnrieh	閣議
ppiiot mwn	閥門
guei cciann	閨情
guei siiuh	閨秀
guei ppiiomx	閨範
guei mit	閨蜜
guei gak	閨閣
guei kuwnx	閨閫
mrin hhwu	閩侯
mrin ciann	閩清
mrin cwih	閩菜
kuwnx grieh	閫寄
kuwnx ppiiomx	閫範
liiw miiix	閭尾
yet briann	閱兵
yet lek	閱歷
yet lamx	閱覽
yet ttuk	閱讀
iem guun	閻君
iem la	閻羅
iem laux	閻老
iem liiann	閻良
iem ma	閻魔
huuk ttiih	閾值
kuek ccek	闃寂
kuek gnien	闃然
kuat gnin	闊人
kuat ppriet	闊別
kuat ppoh	闊步
kuat qiiak	闊綽
kuat laux	闊老
kuat niep	闊躡
lan gnip	闌入
lan miiix	闌尾
lan gan	闌干
lan hhramx	闌檻
lan dan	闌殫
lan san	闌珊
lan ttwu	闌頭
hhap gra	闔家
hhap liiw	闔廬/闔閭
timh gnip	闖入
timh hhuax	闖禍
timh zinh	闖進
timh gruan	闖關
gruan hho	關乎
gruan geih	關係
gruan ttenn	關停
gruan gunn	關公
gruan kwux	關口
gruan xxiann	關城
gruan griannx	關境
gruan ziix	關子
gruan sren	關山
gruan mrieuh	關廟
gruan jiann	關征
gruan sim	關心
gruan vwih	關愛
gruan hhruei	關懷
gruan miin	關文
gruan dunn	關東
gruan giii	關機
gruan jiioh	關注
gruan jieuh	關照
gruan pprak	關白
gruan xyeih	關稅
gruan zet	關節
gruan hheih	關系
gruan ginx	關緊
gruan sei	關西
gruan lien	關連
gruan grim	關金
gruan mwn	關門
gruan vreh	關隘
gruan ttwu	關頭
gruan xiiannh	關餉
qienx iiann	闡揚
qienx mriann	闡明
qienx biiot	闡發
qienx qqyt	闡述
qienx xiak	闡釋
ppiak xit	闢室
ppiak ieu	闢謠
ppiiux nwm	阜南
ppiiux xxiann	阜城
ppiiux nenn	阜寧
ppiiux kann	阜康
ppiiux sin	阜新
ppiiux iiann	阜陽
zriiwx liik	阻力
zriiwx viik	阻抑
zriiwx kannh	阻抗
zriiwx dannh	阻擋
zriiwx nnwih	阻礙
zriiwx ccyet	阻絕
zriiwx vat	阻遏
zriiwx grek	阻隔
va dan	阿丹
va lwi	阿來
va lyn	阿倫
va hryann	阿兄
va gunn	阿公
va ga	阿哥
va deih	阿嚏
va xxiann	阿城
va dox	阿堵
va mwih	阿妹
va i	阿姨
va ppa	阿婆
va mox	阿媽
va gra	阿家
va bra	阿巴
va lwp	阿拉
va dwux	阿斗
va qiiann	阿昌
va mriann	阿明
va srim	阿森
va hhuwnx	阿混
va ppax	阿爸
va penh	阿片
va srit	阿瑟
va munn	阿蒙
va len	阿蓮
va lan	阿蘭
va hruenn	阿訇
va xxy	阿誰
va iio	阿諛
va nak	阿諾
va hiiann	阿鄉
va liix	阿里
va mwn	阿門
va ppiioh	阿附
va biii	阿飛
va nnuuih	阿魏
va ppih	阿鼻
tta lua	陀螺
ppiioh diiunn	附中
ppiioh kkrienx	附件
ppiioh zwk	附則
ppiioh gra	附加
ppiioh ziix	附子
ppiioh grieh	附寄
ppiioh sieux	附小
ppiioh daih	附帶
ppiioh iionn	附庸
ppiioh lan	附欄
ppiioh brit	附筆
ppiioh ciem	附籤
ppiioh gniix	附耳
ppiioh jie	附肢
ppiioh xiet	附設
ppiioh nnrieh	附議
ppiioh xin	附身
ppiioh sunnh	附送
ppiioh teix	附體
ppiioh demx	附點
lwuh vuk	陋屋
lwuh ssip	陋習
lwuh gye	陋規
mrak sriann	陌生
mrak loh	陌路
mrak mrak	陌陌
hhrenx grah	限價
hhrenx jieih	限制
hhrenx kkii	限期
hhrep sei	陜西
xiemx bwk	陝北
xiemx nwm	陝南
xiemx gam	陝甘
xiemx sei	陝西
dwux siiak	陡削
dwux pa	陡坡
dwux bek	陡壁
dwux cieuh	陡峭
dwux synh	陡峻
dwux gnien	陡然
dwux brienh	陡變
dwux ttet	陡跌
ttinh miiann	陣亡
ttinh liet	陣列
ttinh xieih	陣勢
ttinh ttih	陣地
ttinh hhenn	陣型
ttinh ziix	陣子
ttinh iionn	陣容
ttinh yann	陣營
ttinh tunnh	陣痛
ttinh sienh	陣線
ppwi xxiih	陪侍
ppwi ttunn	陪同
ppwi grah	陪嫁
ppwi ccriiann	陪床
ppwi xxyeh	陪睡
ppwi lenh	陪練
ppwi ccuwix	陪罪
ppwi leu	陪聊
ppwi zannh	陪葬
ppwi crinh	陪襯
ppwi hhoh	陪護
ppwi ttuk	陪讀
ppwi sunnh	陪送
ppwi do	陪都
ppwi ziiux	陪酒
vrim gunn	陰功
